# CONTX AsyncStorage Keys Raw
# Generated from source scan on 2026-02-09T08:43:18.398Z
key	references_count	source_examples
application	6	src/components/Header.js:105, src/components/Header.js:174, src/components/Header.js:238, src/screens/Modules.js:31, src/screens/Profile.js:740, src/screens/auth/SignIn.js:62
attendance_records	4	src/screens/AttendanceRecord.js:266, src/screens/AttendanceRecord.js:269, src/screens/AttendanceRecord.js:372, src/screens/AttendanceRecord.js:375
bg_service_status	3	src/screens/BackgroundExample.js:46, src/screens/BackgroundExample.js:58, src/screens/BackgroundExample.js:62
currentJobId	6	src/screens/AttendanceRecord.js:46, src/screens/AttendanceRecord.js:272, src/screens/AttendanceRecord.js:278, src/screens/AttendanceRecord.js:376, src/screens/AttendanceRecord.js:383, src/screens/BackgroundLocationService.js:38
designation	2	src/screens/Profile.js:115, src/screens/tabs/Dashboard.js:154
elapsedTime	5	src/screens/AttendanceRecord.js:69, src/screens/AttendanceRecord.js:147, src/screens/AttendanceRecord.js:297, src/screens/AttendanceRecord.js:411, src/screens/AttendanceRecord.js:415
email	3	src/components/Header.js:236, src/screens/Profile.js:738, src/services/notificationService.js:50
fcmToken	2	src/services/notificationService.js:24, src/services/notificationService.js:35
hasSeenOnboarding	3	src/screens/Onboarding.js:60, src/screens/Onboarding.js:84, src/screens/Onboarding.js:89
images	1	src/components/Header.js:91
isClockedIn	4	src/screens/AttendanceRecord.js:275, src/screens/AttendanceRecord.js:281, src/screens/AttendanceRecord.js:377, src/screens/AttendanceRecord.js:384
lastClockIn	6	src/screens/AttendanceRecord.js:65, src/screens/AttendanceRecord.js:161, src/screens/AttendanceRecord.js:274, src/screens/AttendanceRecord.js:280, src/screens/AttendanceRecord.js:410, src/screens/AttendanceRecord.js:414
phone	3	src/screens/EditPersonalInfo.js:27, src/screens/EditPersonalInfo.js:91, src/screens/Profile.js:157
ref_db	82	src/components/Header.js:104, src/components/Header.js:143, src/components/Header.js:173, src/components/Header.js:206, src/components/Header.js:237, src/components/Header.js:857, src/screens/AddCategory.js:22, src/screens/AddCategory.js:56, src/screens/AddDocument.js:52, src/screens/AddDocument.js:82, src/screens/AttendanceRecord.js:217, src/screens/AttendanceRecord.js:313, src/screens/BackgroundLocationService.js:37, src/screens/BocForm.js:45, src/screens/BocForm.js:152, src/screens/Call.js:56, src/screens/Call.js:109, src/screens/CampaignForm.js:28, src/screens/CampaignForm.js:64, src/screens/Cases.js:55, src/screens/Cases.js:108, src/screens/Contract.js:55, src/screens/Contract.js:108, src/screens/Deal.js:55, src/screens/Deal.js:108, src/screens/EditCall.js:40, src/screens/EditCampaignForm.js:33, src/screens/EditCampaignForm.js:66, src/screens/EditCases.js:40, src/screens/EditContract.js:40, src/screens/EditDeal.js:40, src/screens/EditEmail.js:40, src/screens/EditLeadForm.js:18, src/screens/EditMinutes.js:40, src/screens/EditPersonalInfo.js:24, src/screens/EditQuote.js:40, src/screens/Email.js:55, src/screens/Email.js:108, src/screens/EodForm.js:62, src/screens/EodForm.js:163, src/screens/IncidentForm.js:179, src/screens/IncidentForm.js:218, src/screens/LeadForm.js:85, src/screens/LeadForm.js:109, src/screens/LeadForm.js:144, src/screens/Minutes.js:55, src/screens/Minutes.js:108, src/screens/Modules.js:30, src/screens/MyJobs.js:34, src/screens/MyJobs.js:74, src/screens/Notifications.js:23, src/screens/Notifications.js:52, src/screens/Profile.js:54, src/screens/Profile.js:739, src/screens/Quote.js:55, src/screens/Quote.js:108, src/screens/Task.js:24, src/screens/TimeSheet.js:19, src/screens/ViewCampaign.js:33, src/screens/ViewCampaign.js:71, src/screens/ViewCategory.js:33, src/screens/ViewLead.js:35, src/screens/ViewLead.js:106, src/screens/Webview.js:230, src/screens/Webview.js:278, src/screens/Webview.js:310, src/screens/auth/SignIn.js:93, src/screens/auth/SignUp.js:39, src/screens/tabs/Dashboard.js:47, src/screens/tabs/Dashboard.js:99, src/screens/tabs/Dashboard.js:236, src/screens/tabs/Dashboard.js:276, src/screens/tabs/Dashboard.js:316, src/screens/tabs/Dashboard.js:570, src/screens/tabs/Dashboard.js:623, src/screens/tabs/Dashboard.js:767, src/screens/tabs/Dashboard.js:954, src/screens/tabs/Dashboard.js:1031, src/screens/tabs/Myjob.js:34, src/screens/tabs/Myjob.js:82, src/screens/tabs/Mytask.js:22, src/screens/tabs/Timesheet.js:22
saasid	1	src/screens/auth/SignIn.js:91
secondaryEmail	5	src/screens/BocForm.js:83, src/screens/EodForm.js:104, src/screens/IncidentForm.js:62, src/screens/Profile.js:742, src/screens/auth/SignIn.js:98
secondaryId	70	src/screens/AddCategory.js:23, src/screens/AddCategory.js:57, src/screens/AddDocument.js:53, src/screens/AddDocument.js:83, src/screens/BocForm.js:46, src/screens/BocForm.js:151, src/screens/Call.js:57, src/screens/Call.js:110, src/screens/CampaignForm.js:29, src/screens/CampaignForm.js:65, src/screens/Cases.js:56, src/screens/Cases.js:109, src/screens/Contract.js:56, src/screens/Contract.js:109, src/screens/Deal.js:56, src/screens/Deal.js:109, src/screens/EditCall.js:41, src/screens/EditCampaignForm.js:34, src/screens/EditCampaignForm.js:67, src/screens/EditCases.js:41, src/screens/EditContract.js:41, src/screens/EditDeal.js:41, src/screens/EditEmail.js:41, src/screens/EditLeadForm.js:19, src/screens/EditMinutes.js:41, src/screens/EditPersonalInfo.js:25, src/screens/EditQuote.js:41, src/screens/Email.js:56, src/screens/Email.js:109, src/screens/EodForm.js:63, src/screens/EodForm.js:162, src/screens/IncidentForm.js:180, src/screens/IncidentForm.js:217, src/screens/LeadForm.js:86, src/screens/LeadForm.js:110, src/screens/LeadForm.js:143, src/screens/Minutes.js:56, src/screens/Minutes.js:109, src/screens/MyJobs.js:35, src/screens/MyJobs.js:75, src/screens/Notifications.js:24, src/screens/Notifications.js:53, src/screens/Profile.js:55, src/screens/Profile.js:741, src/screens/Quote.js:56, src/screens/Quote.js:109, src/screens/Task.js:25, src/screens/TimeSheet.js:20, src/screens/ViewCampaign.js:34, src/screens/ViewCategory.js:34, src/screens/ViewLead.js:36, src/screens/Webview.js:231, src/screens/Webview.js:279, src/screens/Webview.js:311, src/screens/auth/SignIn.js:94, src/screens/auth/SignUp.js:38, src/screens/tabs/Dashboard.js:45, src/screens/tabs/Dashboard.js:100, src/screens/tabs/Dashboard.js:237, src/screens/tabs/Dashboard.js:277, src/screens/tabs/Dashboard.js:317, src/screens/tabs/Dashboard.js:571, src/screens/tabs/Dashboard.js:624, src/screens/tabs/Dashboard.js:768, src/screens/tabs/Dashboard.js:955, src/screens/tabs/Dashboard.js:1032, src/screens/tabs/Myjob.js:35, src/screens/tabs/Myjob.js:83, src/screens/tabs/Mytask.js:23, src/screens/tabs/Timesheet.js:23
secondaryPhone	4	src/screens/BocForm.js:84, src/screens/EodForm.js:105, src/screens/IncidentForm.js:63, src/screens/auth/SignIn.js:99
secondaryUnbox	5	src/components/Header.js:103, src/components/Header.js:172, src/screens/Modules.js:29, src/screens/auth/SignIn.js:95, src/screens/tabs/Dashboard.js:46
secondaryUsername	5	src/components/Header.js:71, src/screens/BocForm.js:86, src/screens/EodForm.js:107, src/screens/IncidentForm.js:65, src/screens/auth/SignIn.js:97
secondaryUsername2	12	src/components/Header.js:70, src/screens/BocForm.js:85, src/screens/EditPersonalInfo.js:45, src/screens/EditPersonalInfo.js:90, src/screens/EodForm.js:106, src/screens/IncidentForm.js:64, src/screens/Profile.js:142, src/screens/Profile.js:743, src/screens/auth/SignIn.js:96, src/screens/auth/SignUp.js:40, src/screens/tabs/Dashboard.js:48, src/screens/tabs/Dashboard.js:153
tableData	3	src/screens/HRM.js:168, src/screens/HRM.js:180, src/screens/HRM.js:189
unbox	1	src/screens/auth/SignIn.js:92
username2	1	src/screens/EditPersonalInfo.js:26
userToken	4	src/constants/UserContext.js:13, src/screens/Onboarding.js:61, src/screens/Profile.js:744, src/screens/auth/SignIn.js:114
