# CONTX Route Targets Raw
# Generated from source scan on 2026-02-09T08:43:18.296Z
type	target	source
goBack	<BACK>	src/components/Header.js:693
goBack	<BACK>	src/screens/auth/SignUp.js:59
goBack	<BACK>	src/screens/Call.js:96
goBack	<BACK>	src/screens/Cases.js:95
goBack	<BACK>	src/screens/Contract.js:95
goBack	<BACK>	src/screens/CRM.js:111
goBack	<BACK>	src/screens/Deal.js:95
goBack	<BACK>	src/screens/EditCall.js:72
goBack	<BACK>	src/screens/EditCampaignForm.js:84
goBack	<BACK>	src/screens/EditCases.js:72
goBack	<BACK>	src/screens/EditContract.js:72
goBack	<BACK>	src/screens/EditDeal.js:72
goBack	<BACK>	src/screens/EditEmail.js:72
goBack	<BACK>	src/screens/EditLeadForm.js:35
goBack	<BACK>	src/screens/EditMinutes.js:72
goBack	<BACK>	src/screens/EditQuote.js:72
goBack	<BACK>	src/screens/Email.js:95
goBack	<BACK>	src/screens/Minutes.js:95
goBack	<BACK>	src/screens/Quote.js:95
navigate	AttendanceRecord	src/screens/MyJobs.js:239
navigate	AttendanceRecord	src/screens/MyJobs.js:251
navigate	AttendanceRecord	src/screens/tabs/Dashboard.js:636
navigate	AttendanceRecord	src/screens/tabs/Dashboard.js:646
navigate	AttendanceRecord	src/screens/tabs/Myjob.js:247
navigate	AttendanceRecord	src/screens/tabs/Myjob.js:259
navigate	Call	src/screens/ViewLead.js:73
navigate	CardDetails	src/screens/CardMenu.js:63
navigate	CardDetails	src/screens/CardMenu.js:109
navigate	CardDetails	src/screens/ChangePinCode.js:56
navigate	CardMenu	src/components/Header.js:756
navigate	CardMenu	src/screens/OpenNewCard.js:399
navigate	Cases	src/screens/ViewLead.js:85
navigate	ChangePinCode	src/screens/CardDetails.js:243
navigate	ConfirmationCode	src/screens/VerifyYourPhoneNumber.js:59
navigate	Contract	src/screens/ViewLead.js:102
navigate	Deal	src/screens/ViewLead.js:94
navigate	DocumentManager	src/screens/tabs/Documents.js:16
navigate	EditCall	src/screens/Call.js:30
navigate	EditCampaignForm	src/screens/ViewCampaign.js:67
navigate	EditCases	src/screens/Cases.js:29
navigate	EditContract	src/screens/Contract.js:29
navigate	EditDeal	src/screens/Deal.js:29
navigate	EditEmail	src/screens/Email.js:29
navigate	EditLeadForm	src/screens/ViewLead.js:69
navigate	EditMinutes	src/screens/Minutes.js:29
navigate	EditPersonalInfo	src/screens/Profile.js:186
navigate	EditPersonalInfo	src/screens/Profile.js:251
navigate	EditQuote	src/screens/Quote.js:29
navigate	Email	src/screens/ViewLead.js:77
navigate	ForgotPassword	src/screens/auth/SignIn.js:225
navigate	ForgotPasswordSentEmail	src/screens/NewPassword.js:55
navigate	FundTransfer	src/screens/Payments.js:92
navigate	IBANPayment	src/screens/Payments.js:94
navigate	InvoiceSent	src/screens/CreateInvoice.js:166
navigate	InvoiceSent	src/screens/TransactionDetails.js:403
navigate	Lead	src/screens/tabs/Documents.js:11
navigate	Minutes	src/screens/ViewLead.js:81
navigate	MobilePayment	src/screens/Payments.js:90
navigate	MyJobs	src/screens/tabs/Dashboard.js:657
navigate	NewPassword	src/screens/ForgotPassword.js:46
navigate	Notifications	src/components/Header.js:794
navigate	Onboard	src/screens/ViewLead.js:98
replace	Onboarding	src/screens/Onboarding.js:68
replace	Onboarding	src/screens/SplashScreenc.js:13
navigate	OpenDeposit	src/screens/tabs/Deposits.js:281
navigate	OpenMoneybox	src/screens/tabs/Deposits.js:261
navigate	OpenNewCard	src/screens/CardMenu.js:207
navigate	OpenNewLoan	src/screens/tabs/Faq.js:140
navigate	PaymentFailed	src/screens/FundTransfer.js:243
navigate	PaymentFailed	src/screens/IBANPayment.js:198
navigate	Payments	src/screens/CardDetails.js:173
navigate	PaymentSuccess	src/screens/FundTransfer.js:242
navigate	PaymentSuccess	src/screens/IBANPayment.js:197
navigate	Profile	src/components/Header.js:826
navigate	Profile	src/components/Header.js:910
navigate	Profile	src/components/Header.js:947
navigate	Profile	src/screens/EditPersonalInfo.js:96
navigate	Profile	src/screens/tabs/Dashboard.js:200
navigate	Quote	src/screens/ViewLead.js:89
navigate	SignIn	src/screens/auth/SignUp.js:109
navigate	SignIn	src/screens/ForgotPassword.js:15
navigate	SignIn	src/screens/ForgotPasswordSentEmail.js:58
replace	SignIn	src/screens/Onboarding.js:74
replace	SignIn	src/screens/Onboarding.js:90
navigate	SignIn	src/screens/Profile.js:757
navigate	SignIn	src/screens/SignUpAccountCreated.js:58
navigate	SignUp	src/screens/auth/SignIn.js:258
replace	SignUp	src/screens/Onboarding.js:85
navigate	SignUpAccountCreated	src/screens/ConfirmationCode.js:30
navigate	TabNavigator	src/screens/AttendanceRecord.js:404
replace	TabNavigator	src/screens/auth/SignIn.js:119
navigate	TabNavigator	src/screens/auth/SignUp.js:49
navigate	TabNavigator	src/screens/InvoiceSent.js:60
replace	TabNavigator	src/screens/Onboarding.js:71
navigate	TabNavigator	src/screens/OpenDeposit.js:397
navigate	TabNavigator	src/screens/OpenMoneybox.js:312
navigate	TabNavigator	src/screens/OpenNewLoan.js:342
navigate	TabNavigator	src/screens/PaymentFailed.js:90
navigate	TabNavigator	src/screens/PaymentSuccess.js:90
navigate	TabNavigator	src/screens/tabs/BottomTabBar.js:72
navigate	Task	src/screens/AttendanceRecord.js:433
navigate	Task	src/screens/tabs/Dashboard.js:882
navigate	TimeSheet	src/screens/AttendanceRecord.js:429
navigate	TimeSheet	src/screens/MyJobs.js:261
navigate	TimeSheet	src/screens/tabs/Myjob.js:269
navigate	TopUpPayment	src/screens/MobilePayment.js:84
navigate	TransactionDetails	src/screens/ACCOUNT.js:121
navigate	TransactionDetails	src/screens/CRM.js:72
navigate	TransactionDetails	src/screens/Statistics.js:350
navigate	Webview	src/components/Header.js:438
navigate	Webview	src/components/Header.js:474
navigate	Webview	src/components/Header.js:500
navigate	Webview	src/screens/Modules.js:84
navigate	Webview	src/screens/tabs/Chatbot.js:57
navigate	Webview	src/screens/tabs/Chatbot.js:61
navigate	Webview	src/screens/tabs/Chatbot.js:65
navigate	Webview	src/screens/tabs/Chatbot.js:69
navigate	Webview	src/screens/tabs/Chatbot.js:73
navigate	Webview	src/screens/tabs/Chatbot.js:77
navigate	Webview	src/screens/tabs/Chatbot.js:81
navigate	Webview	src/screens/tabs/Chatbot.js:85
navigate	Webview	src/screens/tabs/Chatbot.js:89
navigate	Webview	src/screens/tabs/Chatbot.js:93
navigate	Webview	src/screens/tabs/Chatbot.js:97
navigate	Webview	src/screens/tabs/Chatbot.js:101
navigate	Webview	src/screens/tabs/Chatbot.js:105
navigate	Webview	src/screens/tabs/Chatbot.js:109
navigate	Webview	src/screens/tabs/Dashboard.js:518
navigate	Webview	src/screens/tabs/Dashboard.js:530
navigate	Webview	src/screens/tabs/Dashboard.js:541
