# CONTX Screen Metrics Raw
# Generated from source scan on 2026-02-09T08:43:18.457Z
screen	in_stack	lines	api_calls	uses_webview	forms_like	background_like	source
Dashboard	Y	1196	11	Y	Y	Y	src/screens/tabs/Dashboard.js
MyComponent	Y	287	4	N	N	Y	src/screens/MyComponent.js
Webview	Y	647	3	Y	N	Y	src/screens/Webview.js
LeadForm	Y	611	3	N	Y	Y	src/screens/LeadForm.js
Modules	Y	198	3	Y	N	Y	src/screens/Modules.js
EodForm	Y	815	2	N	Y	Y	src/screens/EodForm.js
IncidentForm	Y	757	2	N	Y	Y	src/screens/IncidentForm.js
AttendanceRecord	Y	747	2	N	Y	Y	src/screens/AttendanceRecord.js
BocForm	Y	485	2	N	Y	Y	src/screens/BocForm.js
Cases	Y	365	2	N	Y	Y	src/screens/Cases.js
Contract	Y	365	2	N	Y	Y	src/screens/Contract.js
Email	Y	365	2	N	Y	Y	src/screens/Email.js
Minutes	Y	365	2	N	Y	Y	src/screens/Minutes.js
Quote	Y	365	2	N	Y	Y	src/screens/Quote.js
Deal	Y	363	2	N	Y	Y	src/screens/Deal.js
Call	Y	360	2	N	Y	Y	src/screens/Call.js
Mytask	N	329	2	N	Y	Y	src/screens/tabs/Mytask.js
ViewLead	Y	320	2	N	N	Y	src/screens/ViewLead.js
Task	Y	302	2	N	Y	Y	src/screens/Task.js
SignIn	Y	299	2	N	N	Y	src/screens/auth/SignIn.js
Myjob	N	290	2	N	N	Y	src/screens/tabs/Myjob.js
MyJobs	Y	281	2	N	N	Y	src/screens/MyJobs.js
AddDocument	Y	240	2	N	Y	Y	src/screens/AddDocument.js
ViewCampaign	Y	228	2	N	N	Y	src/screens/ViewCampaign.js
Notifications	Y	222	2	N	N	Y	src/screens/Notifications.js
CampaignForm	Y	203	2	N	Y	Y	src/screens/CampaignForm.js
EditCampaignForm	Y	165	2	N	Y	Y	src/screens/EditCampaignForm.js
AddCategory	Y	162	2	N	Y	Y	src/screens/AddCategory.js
Profile	Y	786	1	N	N	Y	src/screens/Profile.js
ViewCategory	Y	233	1	N	N	Y	src/screens/ViewCategory.js
EditCall	Y	193	1	N	Y	Y	src/screens/EditCall.js
EditCases	Y	193	1	N	Y	Y	src/screens/EditCases.js
EditContract	Y	193	1	N	Y	Y	src/screens/EditContract.js
EditDeal	Y	193	1	N	Y	Y	src/screens/EditDeal.js
EditEmail	Y	193	1	N	Y	Y	src/screens/EditEmail.js
EditMinutes	Y	193	1	N	Y	Y	src/screens/EditMinutes.js
EditQuote	Y	193	1	N	Y	Y	src/screens/EditQuote.js
Chatbot	N	182	1	Y	N	Y	src/screens/tabs/Chatbot.js
EditPersonalInfo	Y	179	1	N	N	Y	src/screens/EditPersonalInfo.js
Timesheet	N	149	1	N	N	Y	src/screens/tabs/Timesheet.js
BackgroundLocationService	N	120	1	N	N	Y	src/screens/BackgroundLocationService.js
TimeSheet	Y	119	1	N	N	Y	src/screens/TimeSheet.js
EditLeadForm	Y	90	1	N	Y	Y	src/screens/EditLeadForm.js
webview2	N	2899	0	N	N	N	src/screens/webview2.js
HRM	Y	689	0	N	N	Y	src/screens/HRM.js
Statistics	Y	549	0	N	N	Y	src/screens/Statistics.js
OpenNewCard	Y	480	0	N	N	Y	src/screens/OpenNewCard.js
OpenDeposit	Y	424	0	N	N	Y	src/screens/OpenDeposit.js
TransactionDetails	Y	420	0	N	N	Y	src/screens/TransactionDetails.js
Onboarding	Y	371	0	N	N	Y	src/screens/Onboarding.js
OpenNewLoan	Y	369	0	N	N	Y	src/screens/OpenNewLoan.js
OpenMoneybox	Y	338	0	N	N	Y	src/screens/OpenMoneybox.js
Deposits	N	307	0	N	N	Y	src/screens/tabs/Deposits.js
CardDetails	Y	292	0	N	N	Y	src/screens/CardDetails.js
FundTransfer	Y	259	0	N	N	Y	src/screens/FundTransfer.js
TopUpPayment	Y	246	0	N	N	Y	src/screens/TopUpPayment.js
ConfirmationCode	Y	242	0	N	N	Y	src/screens/ConfirmationCode.js
CardMenu	Y	223	0	N	N	Y	src/screens/CardMenu.js
SignUp	Y	221	0	Y	N	Y	src/screens/auth/SignUp.js
IBANPayment	Y	217	0	N	N	Y	src/screens/IBANPayment.js
DocumentManager	Y	206	0	N	N	Y	src/screens/DocumentManager.js
Faq	N	195	0	N	N	Y	src/screens/tabs/Faq.js
SignInCode	Y	188	0	N	N	Y	src/screens/auth/SignInCode.js
CreateInvoice	Y	181	0	N	N	Y	src/screens/CreateInvoice.js
Lead	Y	162	0	N	N	Y	src/screens/Lead.js
Nexisbot	Y	159	0	N	N	Y	src/screens/Nexisbot.js
ACCOUNT	Y	155	0	N	N	Y	src/screens/ACCOUNT.js
Nextbot	Y	153	0	N	N	Y	src/screens/Nextbot.js
AnalogClock	Y	150	0	N	N	Y	src/screens/AnalogClock.js
Notification	N	149	0	N	N	Y	src/screens/tabs/Notification.js
FAQ	Y	145	0	N	N	Y	src/screens/FAQ.js
index	N	142	0	N	N	Y	src/screens/index.js
