# CONTX Functions Raw
# Generated from source scan on 2026-02-09T08:43:18.393Z
source	name	kind
src/components/BlockHeading.js:8	BlockHeading	const-fn
src/components/Button.js:5	Button	const-fn
src/components/custom/Image.js:7	Image	const-fn
src/components/custom/ImageBackground.js:9	ImageBackground	const-fn
src/components/custom/SafeAreaView.js:5	SafeAreaView	const-fn
src/components/custom/StatusBar.js:5	StatusBar	const-fn
src/components/Dropdown.js:7	Dropdown	const-fn
src/components/Header.js:26	Header	const-fn
src/components/Header.js:68	fetchUsername	const-fn
src/components/Header.js:90	fetchUserData	const-fn
src/components/Header.js:100	fetchModuleData	const-fn
src/components/Header.js:142	handleToggles	const-fn
src/components/Header.js:169	fetchMenuData	const-fn
src/components/Header.js:205	handleToggle	const-fn
src/components/Header.js:232	fetchStockData	const-fn
src/components/Header.js:286	startLoading	const-fn
src/components/Header.js:290	stopLoading	const-fn
src/components/Header.js:308	toggleMenu	const-fn
src/components/Header.js:313	toggleSubMenu	const-fn
src/components/Header.js:317	toggleSubSubMenu	const-fn
src/components/Header.js:321	openSidebar	const-fn
src/components/Header.js:330	closeSidebar	const-fn
src/components/Header.js:338	renderSidebar	const-fn
src/components/Header.js:671	renderGoBack	const-fn
src/components/Header.js:705	renderTitle	const-fn
src/components/Header.js:724	renderToggleThemeButton	const-fn
src/components/Header.js:747	renderCreditCard	const-fn
src/components/Header.js:769	renderMore	const-fn
src/components/Header.js:790	renderNotification	const-fn
src/components/Header.js:793	handleNotifications	const-fn
src/components/Header.js:816	renderLogo	const-fn
src/components/Header.js:848	renderFavicon	const-fn
src/components/Header.js:854	fetchFavicon	const-fn
src/components/Header.js:934	renderUser	const-fn
src/components/Header.js:995	renderFile	const-fn
src/components/Header.js:1021	TransactionIcons	const-fn
src/components/InputField.js:7	InputField	const-fn
src/components/Loader.js:6	Loader	const-fn
src/components/SwitchButton.js:6	SwitchButton	const-fn
src/components/text/H1.js:6	H1	const-fn
src/components/text/H2.js:4	H2	const-fn
src/components/text/H3.js:4	H3	const-fn
src/components/text/H4.js:4	H4	const-fn
src/components/text/H5.js:4	H5	const-fn
src/components/text/T14.js:4	T14	const-fn
src/components/text/T16.js:4	T16	const-fn
src/navigation/StackNavigator.js:24	StackNavigator	const-fn
src/navigation/TabNavigator.js:23	TabNavigator	const-fn
src/navigation/TabNavigator.js:57	renderStatusBar	const-fn
src/navigation/TabNavigator.js:66	homeIndicatorSettings	const-fn
src/navigation/TabNavigator.js:73	renderHeader	const-fn
src/navigation/TabNavigator.js:84	renderScreen	const-fn
src/navigation/TabNavigator.js:96	renderBottomTab	const-fn
src/screens/ACCOUNT.js:49	renderContent	const-fn
src/screens/ACCOUNT.js:147	ACCOUNT	const-fn
src/screens/AddCategory.js:7	AddCategory	const-fn
src/screens/AddCategory.js:15	handleChange	const-fn
src/screens/AddCategory.js:20	fetchModules	const-fn
src/screens/AddCategory.js:54	handleSubmit	const-fn
src/screens/AddDocument.js:9	AddDocument	const-fn
src/screens/AddDocument.js:21	onDateChange	const-fn
src/screens/AddDocument.js:26	handleDocumentPick	const-fn
src/screens/AddDocument.js:45	handleChange	const-fn
src/screens/AddDocument.js:50	fetchModules	const-fn
src/screens/AddDocument.js:81	handleSubmit	const-fn
src/screens/AnalogClock.js:4	AnalogClock	const-fn
src/screens/AnalogClock.js:25	hourDegrees	const-fn
src/screens/AnalogClock.js:32	angle	const-fn
src/screens/AttendanceRecord.js:27	AttendanceRecord	const-fn
src/screens/AttendanceRecord.js:45	loadJobData	const-fn
src/screens/AttendanceRecord.js:78	requestLocationPermission	const-fn
src/screens/AttendanceRecord.js:98	getCurrentLocation	const-fn
src/screens/AttendanceRecord.js:119	captureImage	const-fn
src/screens/AttendanceRecord.js:146	loadElapsedTime	const-fn
src/screens/AttendanceRecord.js:160	loadClockInTime	const-fn
src/screens/AttendanceRecord.js:177	handleClockIn	const-fn
src/screens/AttendanceRecord.js:305	handleClockOut	const-fn
src/screens/AttendanceRecord.js:428	goToTimeSheet	const-fn
src/screens/AttendanceRecord.js:432	goToMyTask	const-fn
src/screens/AttendanceRecord.js:436	renderHeader	const-fn
src/screens/auth/SignIn.js:19	SignIn	const-fn
src/screens/auth/SignIn.js:29	toggleTheme	const-fn
src/screens/auth/SignIn.js:44	togglePasswordVisibility	const-fn
src/screens/auth/SignIn.js:48	fetchSolutions	const-fn
src/screens/auth/SignIn.js:72	handleSignIn	const-fn
src/screens/auth/SignIn.js:134	handleBackPress	const-fn
src/screens/auth/SignIn.js:143	renderContent	const-fn
src/screens/auth/SignIn.js:268	renderToggleButton	const-fn
src/screens/auth/SignInCode.js:19	SignInCode	const-fn
src/screens/auth/SignInCode.js:23	renderStatusBar	const-fn
src/screens/auth/SignInCode.js:29	renderContent	const-fn
src/screens/auth/SignUp.js:11	SignUp	const-fn
src/screens/auth/SignUp.js:16	toggleTheme	const-fn
src/screens/auth/SignUp.js:29	handleWebViewMessage	const-fn
src/screens/auth/SignUp.js:56	renderGoBack	const-fn
src/screens/auth/SignUp.js:66	renderContent	const-fn
src/screens/auth/SignUp.js:182	renderHeader	const-fn
src/screens/auth/SignUp.js:187	renderToggleButton	const-fn
src/screens/BackgroundExample.js:31	requestPermissions	function
src/screens/BackgroundExample.js:41	BackgroundExample	const-fn
src/screens/BackgroundExample.js:45	checkBackgroundStatus	const-fn
src/screens/BackgroundExample.js:54	toggleBackgroundTask	const-fn
src/screens/BackgroundLocationService.js:11	requestLocationPermission	function
src/screens/BackgroundLocationService.js:35	sendLocation	function
src/screens/BackgroundLocationService.js:80	initBackgroundLocationTracking	function
src/screens/BackgroundLocationService.js:90	onEvent	const-fn
src/screens/BackgroundLocationService.js:96	onTimeout	const-fn
src/screens/BackgroundLocationService.js:116	resetLocationStage	function
src/screens/BocForm.js:10	BocForm	const-fn
src/screens/BocForm.js:43	fetchProjectTeams	const-fn
src/screens/BocForm.js:81	loadUserData	const-fn
src/screens/BocForm.js:110	showPicker	const-fn
src/screens/BocForm.js:113	onDateChange	const-fn
src/screens/BocForm.js:132	handleCheckboxToggle	const-fn
src/screens/BocForm.js:138	handleFrequencyChange	const-fn
src/screens/BocForm.js:149	loadUserData	const-fn
src/screens/BocForm.js:163	handleSubmit	const-fn
src/screens/Call.js:14	Call	const-fn
src/screens/Call.js:29	handleCallEdit	const-fn
src/screens/Call.js:33	onDateChange	const-fn
src/screens/Call.js:38	handleDocumentPick	const-fn
src/screens/Call.js:55	handleCallSubmit	const-fn
src/screens/Call.js:108	fetchCalls	const-fn
src/screens/Call.js:131	renderHeader	const-fn
src/screens/CampaignForm.js:10	CampaignForm	const-fn
src/screens/CampaignForm.js:26	fetchUsers	const-fn
src/screens/CampaignForm.js:56	handleChange	const-fn
src/screens/CampaignForm.js:62	handleSubmit	const-fn
src/screens/CardDetails.js:56	CardDetails	const-fn
src/screens/CardDetails.js:57	renderHeader	const-fn
src/screens/CardDetails.js:61	renderCard	const-fn
src/screens/CardDetails.js:81	renderOptions	const-fn
src/screens/CardDetails.js:145	renderLimits	const-fn
src/screens/CardDetails.js:217	renderSecurity	const-fn
src/screens/CardDetails.js:267	renderContent	const-fn
src/screens/CardMenu.js:31	CardMenu	const-fn
src/screens/CardMenu.js:33	renderHeader	const-fn
src/screens/CardMenu.js:37	renderCards	const-fn
src/screens/CardMenu.js:84	renderOngoingCredits	const-fn
src/screens/CardMenu.js:130	renderEntrepreneurAccounts	const-fn
src/screens/CardMenu.js:180	renderContent	const-fn
src/screens/CardMenu.js:197	renderButton	const-fn
src/screens/Cases.js:13	Cases	const-fn
src/screens/Cases.js:28	handleCasesEdit	const-fn
src/screens/Cases.js:32	onDateChange	const-fn
src/screens/Cases.js:37	handleDocumentPick	const-fn
src/screens/Cases.js:54	handleCasesSubmit	const-fn
src/screens/Cases.js:107	fetchCases	const-fn
src/screens/Cases.js:130	renderHeader	const-fn
src/screens/ChangePinCode.js:9	ChangePinCode	const-fn
src/screens/ChangePinCode.js:10	renderHeader	const-fn
src/screens/ChangePinCode.js:14	renderContent	const-fn
src/screens/Clock.js:4	Clock	const-fn
src/screens/Clock.js:15	formatTime	const-fn
src/screens/ConfirmationCode.js:13	ConfirmationCode	const-fn
src/screens/ConfirmationCode.js:34	renderHeader	const-fn
src/screens/ConfirmationCode.js:38	renderContent	const-fn
src/screens/ConfirmationCode.js:42	resendCode	const-fn
src/screens/Contract.js:13	Contract	const-fn
src/screens/Contract.js:28	handleContractEdit	const-fn
src/screens/Contract.js:32	onDateChange	const-fn
src/screens/Contract.js:37	handleDocumentPick	const-fn
src/screens/Contract.js:54	handleContractsSubmit	const-fn
src/screens/Contract.js:107	fetchContracts	const-fn
src/screens/Contract.js:130	renderHeader	const-fn
src/screens/CreateInvoice.js:12	CreateInvoice	const-fn
src/screens/CreateInvoice.js:15	renderHeader	const-fn
src/screens/CreateInvoice.js:19	renderContent	const-fn
src/screens/CreateInvoice.js:161	renderButton	const-fn
src/screens/CRM.js:34	renderContent	const-fn
src/screens/CRM.js:98	CRM	const-fn
src/screens/Deal.js:13	Deal	const-fn
src/screens/Deal.js:28	handleDealEdit	const-fn
src/screens/Deal.js:32	onDateChange	const-fn
src/screens/Deal.js:37	handleDocumentPick	const-fn
src/screens/Deal.js:54	handleDealsSubmit	const-fn
src/screens/Deal.js:107	fetchDeals	const-fn
src/screens/Deal.js:130	renderHeader	const-fn
src/screens/DocumentManager.js:12	DocumentManager	const-fn
src/screens/DocumentManager.js:22	renderHeader	const-fn
src/screens/DocumentManager.js:30	handlePress	const-fn
src/screens/DocumentManager.js:35	toggleDropdown	const-fn
src/screens/DocumentManager.js:42	Content	const-fn
src/screens/EditCall.js:11	EditCall	const-fn
src/screens/EditCall.js:21	onDateChange	const-fn
src/screens/EditCall.js:26	handlePickDocument	const-fn
src/screens/EditCall.js:39	handleUpdate	const-fn
src/screens/EditCall.js:82	renderHeader	const-fn
src/screens/EditCampaignForm.js:9	EditCampaignForm	const-fn
src/screens/EditCampaignForm.js:31	fetchUsers	const-fn
src/screens/EditCampaignForm.js:65	handleUpdate	const-fn
src/screens/EditCampaignForm.js:94	renderHeader	const-fn
src/screens/EditCases.js:11	EditCases	const-fn
src/screens/EditCases.js:21	onDateChange	const-fn
src/screens/EditCases.js:26	handlePickDocument	const-fn
src/screens/EditCases.js:39	handleUpdate	const-fn
src/screens/EditCases.js:82	renderHeader	const-fn
src/screens/EditContract.js:11	EditContract	const-fn
src/screens/EditContract.js:21	onDateChange	const-fn
src/screens/EditContract.js:26	handlePickDocument	const-fn
src/screens/EditContract.js:39	handleUpdate	const-fn
src/screens/EditContract.js:82	renderHeader	const-fn
src/screens/EditDeal.js:11	EditDeal	const-fn
src/screens/EditDeal.js:21	onDateChange	const-fn
src/screens/EditDeal.js:26	handlePickDocument	const-fn
src/screens/EditDeal.js:39	handleUpdate	const-fn
src/screens/EditDeal.js:82	renderHeader	const-fn
src/screens/EditEmail.js:11	EditEmail	const-fn
src/screens/EditEmail.js:21	onDateChange	const-fn
src/screens/EditEmail.js:26	handlePickDocument	const-fn
src/screens/EditEmail.js:39	handleUpdate	const-fn
src/screens/EditEmail.js:82	renderHeader	const-fn
src/screens/EditLeadForm.js:9	EditLeadForm	const-fn
src/screens/EditLeadForm.js:17	handleUpdate	const-fn
src/screens/EditLeadForm.js:46	renderHeader	const-fn
src/screens/EditMinutes.js:11	EditMinutes	const-fn
src/screens/EditMinutes.js:21	onDateChange	const-fn
src/screens/EditMinutes.js:26	handlePickDocument	const-fn
src/screens/EditMinutes.js:39	handleUpdate	const-fn
src/screens/EditMinutes.js:82	renderHeader	const-fn
src/screens/EditPersonalInfo.js:10	EditPersonalInfo	const-fn
src/screens/EditPersonalInfo.js:22	fetchAsyncStorageData	const-fn
src/screens/EditPersonalInfo.js:43	fetchUsername	const-fn
src/screens/EditPersonalInfo.js:56	handleSave	const-fn
src/screens/EditPersonalInfo.js:107	renderHeader	const-fn
src/screens/EditPersonalInfo.js:109	renderContent	const-fn
src/screens/EditQuote.js:11	EditQuote	const-fn
src/screens/EditQuote.js:21	onDateChange	const-fn
src/screens/EditQuote.js:26	handlePickDocument	const-fn
src/screens/EditQuote.js:39	handleUpdate	const-fn
src/screens/EditQuote.js:82	renderHeader	const-fn
src/screens/Email.js:13	Email	const-fn
src/screens/Email.js:28	handleEmailEdit	const-fn
src/screens/Email.js:32	onDateChange	const-fn
src/screens/Email.js:37	handleDocumentPick	const-fn
src/screens/Email.js:54	handleEmailSubmit	const-fn
src/screens/Email.js:107	fetchEmails	const-fn
src/screens/Email.js:130	renderHeader	const-fn
src/screens/EodForm.js:10	EodForm	const-fn
src/screens/EodForm.js:60	fetchProjectTeams	const-fn
src/screens/EodForm.js:102	loadUserData	const-fn
src/screens/EodForm.js:132	showPicker	const-fn
src/screens/EodForm.js:135	onDateChange	const-fn
src/screens/EodForm.js:151	handleCheckboxToggle	const-fn
src/screens/EodForm.js:160	loadUserData	const-fn
src/screens/EodForm.js:173	handleSubmit	const-fn
src/screens/ExchangeRates.js:11	ExchangeRates	const-fn
src/screens/ExchangeRates.js:12	renderBackground	const-fn
src/screens/FAQ.js:54	FAQ	const-fn
src/screens/FAQ.js:57	setSections	const-fn
src/screens/FAQ.js:61	renderHeader	const-fn
src/screens/FAQ.js:65	renderFaqHeader	const-fn
src/screens/FAQ.js:90	renderFaqContent	const-fn
src/screens/FAQ.js:112	renderContent	const-fn
src/screens/ForgotPassword.js:8	ForgotPassword	const-fn
src/screens/ForgotPassword.js:9	renderHeader	const-fn
src/screens/ForgotPassword.js:13	renderContent	const-fn
src/screens/ForgotPassword.js:14	handleSignIn	const-fn
src/screens/ForgotPasswordSentEmail.js:11	ForgotPasswordSentEmail	const-fn
src/screens/ForgotPasswordSentEmail.js:12	renderContent	const-fn
src/screens/ForgotPasswordSentEmail.js:53	renderButton	const-fn
src/screens/FundTransfer.js:35	FundTransfer	const-fn
src/screens/FundTransfer.js:38	renderHeader	const-fn
src/screens/FundTransfer.js:42	renderSendMoney	const-fn
src/screens/FundTransfer.js:101	renderUseCard	const-fn
src/screens/FundTransfer.js:227	renderContent	const-fn
src/screens/FundTransfer.js:236	renderButton	const-fn
src/screens/HRM.js:20	HRM	const-fn
src/screens/HRM.js:38	toggleDropdown	const-fn
src/screens/HRM.js:42	handleOptionSelect	const-fn
src/screens/HRM.js:59	downloadCSV	const-fn
src/screens/HRM.js:78	downloadPDF	const-fn
src/screens/HRM.js:114	downloadExcel	const-fn
src/screens/HRM.js:137	shareFile	const-fn
src/screens/HRM.js:165	loadData	const-fn
src/screens/HRM.js:187	saveData	const-fn
src/screens/HRM.js:195	handleSearchIconPress	const-fn
src/screens/HRM.js:199	handleAdd	const-fn
