# CONTX Last Commit Top Delta
commit_hash	cef706644836cb4c7ecfb51493768c082a9a19bf
commit_short	cef7066
author	Farhan
author_date	2026-02-10 08:09:31 +1100
subject	dev update

total_delta	insertions	deletions	path
41312	20656	20656	package-lock.json
5796	2898	2898	src/screens/webview2.js
3446	1723	1723	android/app/src/main/assets/index.android.bundle
2390	1195	1195	src/screens/tabs/Dashboard.js
2154	1077	1077	src/components/Header.js
1628	814	814	src/screens/EodForm.js
1570	785	785	src/screens/Profile.js
1512	756	756	src/screens/IncidentForm.js
1492	746	746	src/screens/AttendanceRecord.js
1482	741	741	ios/app.xcodeproj/project.pbxproj
1376	688	688	src/screens/HRM.js
1374	687	687	ios/Podfile.lock
1292	646	646	src/screens/Webview.js
1220	610	610	src/screens/LeadForm.js
1096	548	548	src/screens/Statistics.js
968	484	484	src/screens/BocForm.js
958	479	479	src/screens/OpenNewCard.js
878	439	439	src/navigation/StackNavigator.js
846	423	423	src/screens/OpenDeposit.js
838	419	419	src/screens/TransactionDetails.js
740	370	370	src/screens/Onboarding.js
736	368	368	src/screens/OpenNewLoan.js
728	364	364	src/screens/Cases.js
728	364	364	src/screens/Contract.js
728	364	364	src/screens/Email.js
728	364	364	src/screens/Minutes.js
728	364	364	src/screens/Quote.js
724	362	362	src/screens/Deal.js
718	359	359	src/screens/Call.js
674	337	337	src/screens/OpenMoneybox.js
656	328	328	src/screens/tabs/Mytask.js
638	319	319	src/screens/ViewLead.js
613	613	0	CONTX_FUNCTIONS_RAW.txt
612	306	306	src/screens/tabs/Deposits.js
602	301	301	src/screens/Task.js
596	298	298	src/screens/auth/SignIn.js
582	291	291	src/screens/CardDetails.js
578	289	289	src/screens/tabs/Myjob.js
572	286	286	src/screens/MyComponent.js
560	280	280	src/screens/MyJobs.js
516	258	258	src/screens/FundTransfer.js
490	245	245	src/screens/TopUpPayment.js
482	241	241	src/screens/ConfirmationCode.js
478	239	239	src/screens/AddDocument.js
468	234	234	android/gradlew
464	232	232	src/screens/ViewCategory.js
454	227	227	src/screens/ViewCampaign.js
444	222	222	src/screens/CardMenu.js
442	221	221	src/screens/Notifications.js
440	220	220	src/screens/auth/SignUp.js
432	216	216	src/screens/IBANPayment.js
410	205	205	src/screens/DocumentManager.js
404	202	202	src/screens/CampaignForm.js
394	197	197	src/screens/Modules.js
388	194	194	src/screens/tabs/Faq.js
384	192	192	src/screens/EditCall.js
384	192	192	src/screens/EditCases.js
384	192	192	src/screens/EditContract.js
384	192	192	src/screens/EditDeal.js
384	192	192	src/screens/EditEmail.js
384	192	192	src/screens/EditMinutes.js
384	192	192	src/screens/EditQuote.js
374	187	187	src/screens/auth/SignInCode.js
362	181	181	src/screens/tabs/Chatbot.js
360	180	180	src/screens/CreateInvoice.js
356	178	178	src/screens/EditPersonalInfo.js
348	174	174	src/assets/svg/ImageSvg.js
348	174	174	src/navigation/TabNavigator.js
332	166	166	src/components/InputField.js
328	164	164	src/screens/EditCampaignForm.js
322	161	161	src/screens/AddCategory.js
322	161	161	src/screens/Lead.js
316	158	158	src/screens/Nexisbot.js
308	154	154	src/screens/ACCOUNT.js
304	152	152	src/screens/Nextbot.js
298	149	149	src/screens/AnalogClock.js
296	148	148	src/screens/tabs/Notification.js
296	148	148	src/screens/tabs/Timesheet.js
288	144	144	src/screens/FAQ.js
282	141	141	src/screens/index.js
268	134	134	src/screens/Payments.js
262	131	131	src/assets/svg/index.js
256	128	128	App.jsx
242	121	121	src/screens/CRM.js
238	119	119	src/screens/BackgroundLocationService.js
236	118	118	android/app/build.gradle
236	118	118	src/constants/theme.js
236	118	118	src/screens/TimeSheet.js
232	116	116	android/app/src/main/AndroidManifest.xml
232	116	116	src/screens/PrivacyPolicy.js
228	114	114	src/screens/PaymentSuccess.js
224	112	112	src/screens/PaymentFailed.js
206	103	103	src/screens/tabs/BottomTabBar.js
196	98	98	Gemfile.lock
196	98	98	package.json
196	98	98	src/screens/MobilePayment.js
186	93	93	src/screens/tabs/Documents.js
185	185	0	CONTX_MASTER_CONTEXT.txt
178	89	89	android/gradlew.bat
178	89	89	src/screens/EditLeadForm.js
176	88	88	android/app/src/main/java/com/app/MainActivity.java
176	88	88	ios/app.xcodeproj/xcshareddata/xcschemes/app.xcscheme
172	86	86	ios/app/Info.plist
171	171	0	CONTX_HOW_TO_RUN.md
171	171	0	CONTX_ROUTING_AND_FLOW.md
170	85	85	src/services/notificationService.js
166	166	0	CONTX_SCREEN_CATALOG.md
166	83	83	src/components/Dropdown.js
156	78	78	src/screens/ForgotPassword.js
154	77	77	src/screens/BackgroundExample.js
150	75	75	android/app/src/debug/java/com/app/ReactNativeFlipper.java
146	73	73	src/screens/InvoiceSent.js
146	73	73	src/screens/VerifyYourPhoneNumber.js
142	71	71	src/screens/ChangePinCode.js
142	71	71	src/screens/ForgotPasswordSentEmail.js
142	71	71	src/screens/SignUpAccountCreated.js
141	141	0	CONTX_REPOSITORY_MAP.md
138	69	69	src/screens/NewPassword.js
134	134	0	CONTX_ROUTE_TARGETS_RAW.txt
132	132	0	CONTX_FUNCTIONS_INDEX.md
132	66	66	ios/appTests/appTests.m
124	62	62	android/app/src/main/java/com/app/MainApplication.java
122	122	0	CONTX_DEPENDENCIES_AND_STACK.md
120	60	60	ios/Podfile
112	112	0	CONTX_API_CALLS_MATRIX.md
106	53	53	ios/app/Images.xcassets/AppIcon.appiconset/Contents.json
106	53	53	src/screens/Mode.js
102	102	0	CONTX_NATIVE_ANDROID.md
98	98	0	CONTX_SCREEN_METRICS_RAW.txt
98	49	49	src/assets/svg/DashboardSvg.js
96	96	0	CONTX_GAPS_AND_RISKS.md
94	47	47	ios/app/LaunchScreen.storyboard
94	47	47	src/screens/Onboard.js
93	93	0	CONTX_DATA_AND_STATE.md
90	45	45	android/gradle.properties
90	45	45	src/screens/SplashScreenc.js
88	44	44	android/build.gradle
84	84	0	CONTX_API_ENDPOINTS_RAW.txt
84	42	42	src/screens/ExchangeRates.js
82	41	41	src/components/BlockHeading.js
82	41	41	src/components/custom/SafeAreaView.js
80	40	40	src/screens/Clock.js
78	78	0	CONTX_NATIVE_IOS.md
78	39	39	src/assets/svg/NotificationSvg.js
76	38	38	android/app/google-services.json
74	37	37	src/assets/svg/PiggyBankSvg.js
72	36	36	android/app/src/main/res/drawable/rn_edit_text_material.xml
72	36	36	ios/app/AppDelegate.mm
72	36	36	src/components/Button.js
68	34	34	src/components/SwitchButton.js
66	33	33	android/link-assets-manifest.json
66	33	33	ios/link-assets-manifest.json
64	32	32	src/assets/svg/ProcessingSvg.js
64	32	32	src/assets/svg/TaskSvg.js
62	62	0	CONTX_HOW_TO_RUN.txt
60	30	30	src/assets/svg/GoBackSvg.js
60	30	30	src/assets/svg/PercentageSvg.js
60	30	30	src/constants/UserContext.js
58	29	29	src/assets/svg/RightArrowSvg.js
57	57	0	CONTX_INDEX.md
56	28	28	src/components/custom/ImageBackground.js
54	27	27	src/assets/svg/CompletedSvg.js
54	27	27	src/screens/Loader.js
52	26	26	src/assets/svg/BlockSearchSvg.js
52	26	26	src/assets/svg/FlagSvg.js
52	26	26	src/assets/svg/StarSvg.js
50	25	25	src/assets/svg/EyeOnSvg.js
50	25	25	src/assets/svg/MapPinSvg.js
50	25	25	src/components/custom/Image.js
48	24	24	ios/appTests/Info.plist
48	24	24	src/assets/svg/BriefcaseSvg.js
48	24	24	src/assets/svg/CardSvg.js
48	24	24	src/assets/svg/ChatbotSvg.js
48	24	24	src/assets/svg/DollarSignSvg.js
48	24	24	src/assets/svg/EditSvg.js
48	24	24	src/assets/svg/EmailSvg.js
48	24	24	src/assets/svg/LocationSvg.js
48	24	24	src/assets/svg/RefreshSvg.js
46	23	23	src/assets/svg/AlertSvg.js
46	23	23	src/assets/svg/ArrowCloseSvg.js
46	23	23	src/assets/svg/ArrowOpenSvg.js
46	23	23	src/assets/svg/CheckSvg.js
46	23	23	src/assets/svg/CompletedNoticeSvg.js
46	23	23	src/assets/svg/DollarSvg.js
46	23	23	src/assets/svg/FileTextSvg.js
46	23	23	src/assets/svg/GlobeSvg.js
46	23	23	src/assets/svg/InfoSvg.js
46	23	23	src/assets/svg/MailSvg.js
46	23	23	src/components/index.js
46	23	23	src/constants/MenuContext.js
44	22	22	src/assets/svg/EyeOffSvg.js
44	22	22	src/components/text/H1.js
42	21	21	src/assets/svg/OperationCardSvg.js
42	21	21	src/assets/svg/PercentageLoanSvg.js
42	21	21	src/assets/svg/WalletSvg.js
42	21	21	src/components/Loader.js
42	21	21	src/components/text/index.js
42	21	21	src/constants/LoaderContext.js
40	20	20	android/app/src/release/java/com/app/ReactNativeFlipper.java
40	20	20	src/assets/svg/TwitterSvg.js
40	20	20	src/assets/svg/WatchSvg.js
40	20	20	src/constants/ThemeContext.js
34	17	17	metro.config.js
34	17	17	src/assets/svg/CalendarSvg.js
34	17	17	src/assets/svg/CitySvg.js
34	17	17	src/assets/svg/CreditCardSvg.js
34	17	17	src/assets/svg/HashSvg.js
34	17	17	src/assets/svg/KeySvg.js
34	17	17	src/assets/svg/SidebarSvg.js
34	17	17	src/assets/svg/UserSvg.js
34	17	17	src/components/custom/StatusBar.js
34	17	17	src/store/tabSlice.js
32	16	16	src/assets/svg/ActiveCheckSvg.js
32	16	16	src/assets/svg/HomeSvg.js
32	16	16	src/assets/svg/LockSvg.js
32	16	16	src/assets/svg/MoneyExchangeSvg.js
32	16	16	src/assets/svg/RejectedSvg.js
32	16	16	src/assets/svg/SecurityKeySvg.js
32	16	16	src/assets/svg/StatCalendarSvg.js
32	16	16	src/assets/svg/TrashSvg.js
32	16	16	src/assets/svg/VerticalMenuSvg.js
30	15	15	src/constants/PendingContext.js
30	15	15	src/constants/TaskContext.js
28	28	0	CONTX_ASYNCSTORAGE_KEYS_RAW.txt
28	14	14	__tests__/App-test.tsx
28	14	14	src/assets/svg/DocumentSvg.js
28	14	14	src/assets/svg/SubscriptionSvg.js
26	13	13	android/app/src/debug/AndroidManifest.xml
26	13	13	src/assets/svg/GoogleSvg.js
26	13	13	src/assets/svg/MoreSvg.js
26	13	13	src/assets/svg/PlusSvg.js
24	12	12	src/assets/svg/FacebookSvg.js
24	12	12	src/assets/svg/FlagMarkSvg.js
24	12	12	src/assets/svg/SearchSvg.js
24	12	12	src/components/text/H2.js
24	12	12	src/components/text/H3.js
24	12	12	src/components/text/H4.js
24	12	12	src/components/text/H5.js
24	12	12	src/components/text/T14.js
24	12	12	src/components/text/T16.js
22	11	11	ios/.xcode.env
22	11	11	src/assets/svg/NotificationSoftSvg.js
22	11	11	src/screens/ViewDocument.js
22	11	11	src/utils/permissions.js
20	10	10	android/app/proguard-rules.pro
20	10	10	ios/app.xcworkspace/contents.xcworkspacedata
20	10	10	ios/app/main.m
18	9	9	index.js
18	9	9	src/store/store.js
16	8	8	android/app/src/main/res/values/styles.xml
16	8	8	ios/app.xcodeproj/project.xcworkspace/xcshareddata/IDEWorkspaceChecks.plist
14	7	7	react-native.config.js
12	6	6	Gemfile
12	6	6	android/app/src/main/res/values/colors.xml
12	6	6	ios/app/AppDelegate.h
12	6	6	ios/app/Images.xcassets/Contents.json
10	5	5	android/app/src/main/res/values/strings.xml
10	5	5	android/gradle/wrapper/gradle-wrapper.properties
10	5	5	android/settings.gradle
8	4	4	babel.config.js
6	3	3	app.json
6	3	3	src/constants/index.js
